epoch,accuracy_train,accuracy_test
1,0.33376431465148926,0.3316100537776947
2,0.3260066509246826,0.32791727781295776
3,0.34226080775260925,0.3316100537776947
4,0.3276689946651459,0.32791727781295776
5,0.3439231514930725,0.3382570147514343
6,0.32896193861961365,0.3382570147514343
7,0.33228665590286255,0.3316100537776947
8,0.3333949148654938,0.3316100537776947
9,0.3411525785923004,0.32791727781295776
10,0.34466198086738586,0.3382570147514343
11,0.3278537094593048,0.3316100537776947
12,0.338197261095047,0.3316100537776947
13,0.32194310426712036,0.32791727781295776
14,0.3363502025604248,0.3382570147514343
15,0.32803842425346375,0.32791727781295776
16,0.33284077048301697,0.3382570147514343
17,0.3405984342098236,0.3316100537776947
18,0.33468785881996155,0.3382570147514343
19,0.3439231514930725,0.32791727781295776
20,0.332101970911026,0.32791727781295776
21,0.33376431465148926,0.32791727781295776
22,0.32231253385543823,0.32865583896636963
23,0.3339490294456482,0.3316100537776947
24,0.31954193115234375,0.3316100537776947
25,0.3367196023464203,0.3382570147514343
26,0.3359808027744293,0.3382570147514343
27,0.33985963463783264,0.3316100537776947
28,0.3376431465148926,0.3382570147514343
29,0.3269301950931549,0.3316100537776947
30,0.3173254430294037,0.3382570147514343
31,0.3215737044811249,0.32791727781295776
32,0.3311784267425537,0.3316100537776947
33,0.33468785881996155,0.32791727781295776
34,0.3326560854911804,0.32791727781295776
35,0.32342076301574707,0.3316100537776947
36,0.3333949148654938,0.32791727781295776
37,0.33524197340011597,0.3316100537776947
38,0.3239748775959015,0.3382570147514343
39,0.338197261095047,0.3316100537776947
40,0.321204274892807,0.32791727781295776
41,0.3221278190612793,0.3316100537776947
42,0.3376431465148926,0.3382570147514343
43,0.32619136571884155,0.3316100537776947
44,0.32803842425346375,0.32791727781295776
45,0.3245289921760559,0.32791727781295776
46,0.33505725860595703,0.3382570147514343
47,0.3339490294456482,0.3316100537776947
48,0.32840782403945923,0.32791727781295776
49,0.33801254630088806,0.3316100537776947
50,0.3372737467288971,0.3316100537776947
51,0.3367196023464203,0.3382570147514343
52,0.3278537094593048,0.32791727781295776
53,0.3400443196296692,0.3316100537776947
54,0.33468785881996155,0.3316100537776947
55,0.3326560854911804,0.3382570147514343
56,0.32656076550483704,0.32791727781295776
57,0.33284077048301697,0.3316100537776947
58,0.33284077048301697,0.3316100537776947
59,0.3291466534137726,0.3316100537776947
60,0.33893609046936035,0.32791727781295776
61,0.3378278613090515,0.32791727781295776
62,0.32859253883361816,0.3316100537776947
63,0.338197261095047,0.32791727781295776
64,0.32619136571884155,0.32791727781295776
65,0.3396749198436737,0.3316100537776947
66,0.32859253883361816,0.3316100537776947
67,0.33376431465148926,0.3382570147514343
68,0.3324713706970215,0.3382570147514343
69,0.33228665590286255,0.3382570147514343
70,0.3272995948791504,0.32791727781295776
71,0.3309937119483948,0.3382570147514343
72,0.3411525785923004,0.3316100537776947
73,0.33468785881996155,0.32791727781295776
74,0.32803842425346375,0.32791727781295776
75,0.32951608300209045,0.32791727781295776
