epoch,accuracy_train,accuracy_test
1,0.33321020007133484,0.34194979071617126
2,0.3415219783782959,0.34194979071617126
3,0.33708903193473816,0.3441654443740845
4,0.3306243121623993,0.3412112295627594
5,0.33284077048301697,0.3389955759048462
6,0.33524197340011597,0.3412112295627594
7,0.3409678637981415,0.33973410725593567
8,0.32803842425346375,0.336779922246933
9,0.3348725438117981,0.33973410725593567
10,0.3402290344238281,0.3389955759048462
11,0.338197261095047,0.34047266840934753
12,0.33321020007133484,0.34047266840934753
13,0.3276689946651459,0.3412112295627594
14,0.33321020007133484,0.3389955759048462
15,0.3293313682079315,0.3389955759048462
16,0.3348725438117981,0.34047266840934753
17,0.33930549025535583,0.3441654443740845
18,0.3424455225467682,0.34490397572517395
19,0.32859253883361816,0.3434268832206726
20,0.34318432211875916,0.3456425368785858
21,0.33838197588920593,0.34268832206726074
22,0.32951608300209045,0.34194979071617126
23,0.33653491735458374,0.34194979071617126
24,0.32988548278808594,0.3412112295627594
25,0.33321020007133484,0.3389955759048462
26,0.34133726358413696,0.3382570147514343
27,0.33524197340011597,0.3382570147514343
28,0.32896193861961365,0.33751845359802246
29,0.3367196023464203,0.336779922246933
30,0.3282231390476227,0.336779922246933
31,0.33321020007133484,0.3382570147514343
32,0.32674548029899597,0.3382570147514343
33,0.3348725438117981,0.3345642685890198
34,0.32379016280174255,0.3345642685890198
35,0.3354266583919525,0.3338257074356079
36,0.3402290344238281,0.33087149262428284
37,0.32803842425346375,0.3338257074356079
38,0.33838197588920593,0.3345642685890198
39,0.3306243121623993,0.3360413610935211
40,0.3326560854911804,0.33530279994010925
41,0.3402290344238281,0.3360413610935211
42,0.34281492233276367,0.3360413610935211
43,0.3485408127307892,0.336779922246933
44,0.3415219783782959,0.3338257074356079
45,0.33745843172073364,0.3345642685890198
46,0.34133726358413696,0.336779922246933
47,0.3315478265285492,0.336779922246933
48,0.34263020753860474,0.336779922246933
49,0.33949020504951477,0.336779922246933
50,0.3387513756752014,0.33751845359802246
51,0.3376431465148926,0.336779922246933
52,0.3402290344238281,0.3360413610935211
53,0.3278537094593048,0.3338257074356079
54,0.3402290344238281,0.3338257074356079
55,0.3490949273109436,0.33530279994010925
56,0.3433690369129181,0.3338257074356079
57,0.3376431465148926,0.33308714628219604
58,0.35020318627357483,0.336779922246933
59,0.3396749198436737,0.336779922246933
60,0.34078314900398254,0.3389955759048462
61,0.33893609046936035,0.3382570147514343
62,0.32526782155036926,0.33751845359802246
63,0.3376431465148926,0.336779922246933
64,0.3372737467288971,0.3382570147514343
65,0.33985963463783264,0.3389955759048462
66,0.329700767993927,0.3382570147514343
67,0.33893609046936035,0.3382570147514343
68,0.34318432211875916,0.3382570147514343
69,0.32988548278808594,0.336779922246933
70,0.33505725860595703,0.3345642685890198
71,0.33856669068336487,0.33530279994010925
72,0.33838197588920593,0.33530279994010925
73,0.34983375668525696,0.3360413610935211
74,0.3308090269565582,0.3338257074356079
75,0.3400443196296692,0.3338257074356079
76,0.3339490294456482,0.3323485851287842
77,0.34263020753860474,0.3338257074356079
78,0.33284077048301697,0.33308714628219604
79,0.3490949273109436,0.3345642685890198
80,0.34318432211875916,0.33308714628219604
81,0.34078314900398254,0.3323485851287842
82,0.3476172983646393,0.3323485851287842
83,0.346693754196167,0.3323485851287842
84,0.35223495960235596,0.3316100537776947
85,0.3300701975822449,0.33087149262428284
86,0.3391208052635193,0.33087149262428284
87,0.34410786628723145,0.33087149262428284
88,0.33893609046936035,0.3323485851287842
89,0.33985963463783264,0.3323485851287842
90,0.3429996371269226,0.33087149262428284
91,0.33376431465148926,0.33087149262428284
92,0.3402290344238281,0.3316100537776947
93,0.3485408127307892,0.33013293147087097
94,0.34891024231910706,0.33087149262428284
95,0.3367196023464203,0.33013293147087097
96,0.32988548278808594,0.33087149262428284
97,0.3330254852771759,0.33087149262428284
98,0.34466198086738586,0.33013293147087097
99,0.34170669317245483,0.33013293147087097
100,0.3411525785923004,0.33087149262428284
101,0.34595492482185364,0.3293944001197815
102,0.3487255275249481,0.3293944001197815
103,0.34281492233276367,0.33087149262428284
104,0.33505725860595703,0.33013293147087097
105,0.343553751707077,0.3316100537776947
106,0.3485408127307892,0.33087149262428284
107,0.3457702398300171,0.33013293147087097
108,0.33838197588920593,0.33013293147087097
109,0.343553751707077,0.33013293147087097
110,0.3339490294456482,0.3293944001197815
111,0.3561137914657593,0.32865583896636963
112,0.34558552503585815,0.32791727781295776
113,0.34743258357048035,0.3293944001197815
114,0.3376431465148926,0.33087149262428284
115,0.34891024231910706,0.33087149262428284
116,0.34226080775260925,0.33087149262428284
117,0.3429996371269226,0.33013293147087097
118,0.3461396396160126,0.33013293147087097
119,0.3505725860595703,0.33013293147087097
120,0.3415219783782959,0.33087149262428284
121,0.34706318378448486,0.33013293147087097
122,0.34281492233276367,0.33013293147087097
123,0.34466198086738586,0.33013293147087097
124,0.34927964210510254,0.33087149262428284
125,0.3391208052635193,0.3316100537776947
126,0.3505725860595703,0.3316100537776947
127,0.34503141045570374,0.3316100537776947
128,0.3457702398300171,0.3323485851287842
129,0.3496490716934204,0.3316100537776947
130,0.3548208475112915,0.3323485851287842
131,0.3481714129447937,0.3316100537776947
132,0.355190247297287,0.3323485851287842
133,0.35463613271713257,0.33308714628219604
134,0.352050244808197,0.3345642685890198
135,0.34170669317245483,0.3345642685890198
136,0.3505725860595703,0.33530279994010925
137,0.34983375668525696,0.33530279994010925
138,0.35075730085372925,0.3345642685890198
139,0.3387513756752014,0.3345642685890198
140,0.34263020753860474,0.33530279994010925
141,0.3566679060459137,0.3360413610935211
142,0.3452160954475403,0.3360413610935211
143,0.3537125885486603,0.3360413610935211
144,0.34133726358413696,0.3360413610935211
145,0.35223495960235596,0.336779922246933
146,0.3503878712654114,0.33751845359802246
147,0.34503141045570374,0.3360413610935211
148,0.34780198335647583,0.3360413610935211
149,0.3420760929584503,0.3360413610935211
150,0.3468784689903259,0.3360413610935211
151,0.34927964210510254,0.3360413610935211
152,0.34983375668525696,0.336779922246933
153,0.3405984342098236,0.33751845359802246
154,0.35260435938835144,0.3389955759048462
155,0.3494643568992615,0.34047266840934753
156,0.35131141543388367,0.3412112295627594
157,0.34891024231910706,0.34268832206726074
158,0.35740673542022705,0.3434268832206726
159,0.35075730085372925,0.3434268832206726
160,0.3660879135131836,0.3434268832206726
161,0.34983375668525696,0.34490397572517395
162,0.35315847396850586,0.34490397572517395
163,0.3496490716934204,0.3456425368785858
164,0.3514961302280426,0.3463810980319977
165,0.3594384789466858,0.3456425368785858
166,0.3468784689903259,0.3463810980319977
167,0.3538973033428192,0.34711965918540955
168,0.3537125885486603,0.347858190536499
169,0.3618396818637848,0.3463810980319977
170,0.35112670063972473,0.3456425368785858
171,0.360546737909317,0.3456425368785858
172,0.3461396396160126,0.34490397572517395
173,0.3585149645805359,0.3463810980319977
174,0.3570373058319092,0.34711965918540955
175,0.3461396396160126,0.34711965918540955
176,0.35685259103775024,0.34711965918540955
177,0.3457702398300171,0.3456425368785858
178,0.35888436436653137,0.34490397572517395
179,0.35833024978637695,0.34490397572517395
180,0.3537125885486603,0.3456425368785858
181,0.3518655300140381,0.3463810980319977
182,0.35020318627357483,0.34711965918540955
183,0.35315847396850586,0.347858190536499
184,0.3570373058319092,0.347858190536499
185,0.34798669815063477,0.3485967516899109
186,0.3514961302280426,0.3485967516899109
187,0.358145534992218,0.3485967516899109
188,0.3518655300140381,0.34711965918540955
189,0.35740673542022705,0.347858190536499
190,0.35777613520622253,0.347858190536499
191,0.3561137914657593,0.347858190536499
192,0.3505725860595703,0.3485967516899109
193,0.3542667031288147,0.347858190536499
194,0.35112670063972473,0.34711965918540955
195,0.3557443618774414,0.347858190536499
196,0.3623937964439392,0.347858190536499
197,0.3575914204120636,0.347858190536499
198,0.3553749620914459,0.34711965918540955
199,0.35555964708328247,0.34711965918540955
200,0.3524196445941925,0.3485967516899109
201,0.3524196445941925,0.347858190536499
202,0.3603620231151581,0.347858190536499
203,0.352050244808197,0.34933531284332275
204,0.3594384789466858,0.3485967516899109
205,0.3509420156478882,0.34711965918540955
206,0.35648319125175476,0.3463810980319977
207,0.3575914204120636,0.34711965918540955
208,0.35463613271713257,0.34933531284332275
209,0.3609161376953125,0.34933531284332275
210,0.35685259103775024,0.35007384419441223
211,0.3542667031288147,0.35155096650123596
212,0.3655337989330292,0.35228949785232544
213,0.36497968435287476,0.3530280590057373
214,0.35463613271713257,0.35450518131256104
215,0.3509420156478882,0.35450518131256104
216,0.35555964708328247,0.35450518131256104
217,0.35888436436653137,0.35376662015914917
218,0.36073142290115356,0.3552437126636505
219,0.35131141543388367,0.3552437126636505
220,0.3679349720478058,0.3559822738170624
221,0.36645734310150146,0.3559822738170624
222,0.34983375668525696,0.3552437126636505
223,0.3590690791606903,0.3574593663215637
224,0.3594384789466858,0.3574593663215637
225,0.37292206287384033,0.3581979274749756
226,0.3627631962299347,0.3581979274749756
227,0.3614702522754669,0.3574593663215637
228,0.3548208475112915,0.3574593663215637
229,0.36534908413887024,0.3574593663215637
230,0.36959734559059143,0.3581979274749756
231,0.35408201813697815,0.3581979274749756
