epoch,accuracy_train,accuracy_test
1,0.3300701975822449,0.33308714628219604
2,0.323605477809906,0.32865583896636963
3,0.3248984217643738,0.32865583896636963
4,0.32840782403945923,0.33308714628219604
5,0.3311784267425537,0.3382570147514343
6,0.32563725113868713,0.3382570147514343
7,0.32471370697021484,0.33308714628219604
8,0.33043959736824036,0.32865583896636963
9,0.33043959736824036,0.3382570147514343
10,0.31473955512046814,0.32865583896636963
11,0.33191725611686707,0.32865583896636963
12,0.33191725611686707,0.33308714628219604
13,0.3330254852771759,0.32865583896636963
14,0.32859253883361816,0.32865583896636963
15,0.3173254430294037,0.32865583896636963
16,0.3191725015640259,0.33308714628219604
17,0.3311784267425537,0.32865583896636963
18,0.32526782155036926,0.32865583896636963
19,0.3345031440258026,0.32865583896636963
20,0.32859253883361816,0.32865583896636963
21,0.3300701975822449,0.32865583896636963
22,0.3287772536277771,0.32865583896636963
23,0.33284077048301697,0.32865583896636963
24,0.33468785881996155,0.32865583896636963
25,0.33616548776626587,0.32865583896636963
26,0.32988548278808594,0.32865583896636963
27,0.3175101578235626,0.32865583896636963
28,0.3254525363445282,0.33308714628219604
29,0.32674548029899597,0.33308714628219604
30,0.3269301950931549,0.33308714628219604
31,0.32674548029899597,0.33308714628219604
32,0.321204274892807,0.3382570147514343
33,0.3239748775959015,0.32865583896636963
34,0.323605477809906,0.32865583896636963
35,0.31621721386909485,0.32865583896636963
36,0.32674548029899597,0.32865583896636963
37,0.3254525363445282,0.32865583896636963
38,0.3345031440258026,0.32865583896636963
39,0.3173254430294037,0.32865583896636963
40,0.32803842425346375,0.32865583896636963
41,0.32138898968696594,0.32865583896636963
42,0.32859253883361816,0.32865583896636963
43,0.3308090269565582,0.32865583896636963
44,0.3345031440258026,0.32865583896636963
45,0.3315478265285492,0.33308714628219604
46,0.32951608300209045,0.33308714628219604
47,0.3300701975822449,0.32865583896636963
48,0.3269301950931549,0.33308714628219604
49,0.3215737044811249,0.33308714628219604
50,0.3324713706970215,0.32865583896636963
51,0.3345031440258026,0.32865583896636963
52,0.323605477809906,0.33308714628219604
53,0.3302548825740814,0.32865583896636963
54,0.32896193861961365,0.33308714628219604
55,0.3241595923900604,0.32865583896636963
56,0.32951608300209045,0.32865583896636963
57,0.3282231390476227,0.32865583896636963
58,0.3272995948791504,0.32865583896636963
59,0.32526782155036926,0.32865583896636963
60,0.32563725113868713,0.32865583896636963
61,0.3197266459465027,0.32865583896636963
62,0.3315478265285492,0.32865583896636963
63,0.3230513632297516,0.32865583896636963
64,0.33043959736824036,0.32865583896636963
65,0.3345031440258026,0.32865583896636963
66,0.32711488008499146,0.33308714628219604
67,0.33228665590286255,0.32865583896636963
68,0.3345031440258026,0.32865583896636963
69,0.3274843096733093,0.33308714628219604
70,0.332101970911026,0.33308714628219604
71,0.33376431465148926,0.33308714628219604
72,0.32619136571884155,0.32865583896636963
73,0.32988548278808594,0.32865583896636963
74,0.32526782155036926,0.32865583896636963
75,0.3345031440258026,0.32865583896636963
76,0.3306243121623993,0.32865583896636963
77,0.32379016280174255,0.33308714628219604
78,0.3221278190612793,0.32865583896636963
79,0.3345031440258026,0.32865583896636963
80,0.32803842425346375,0.33308714628219604
81,0.3335795998573303,0.32865583896636963
82,0.329700767993927,0.32865583896636963
83,0.3291466534137726,0.32865583896636963
84,0.3300701975822449,0.32865583896636963
85,0.32342076301574707,0.32865583896636963
86,0.321204274892807,0.32865583896636963
87,0.3248984217643738,0.32865583896636963
88,0.3175101578235626,0.32865583896636963
89,0.3239748775959015,0.32865583896636963
90,0.32563725113868713,0.32865583896636963
91,0.329700767993927,0.32865583896636963
92,0.3348725438117981,0.33308714628219604
93,0.32526782155036926,0.33308714628219604
94,0.3354266583919525,0.32865583896636963
95,0.32988548278808594,0.32865583896636963
96,0.32286664843559265,0.32865583896636963
97,0.3345031440258026,0.32865583896636963
98,0.3184337019920349,0.32865583896636963
99,0.33321020007133484,0.32865583896636963
100,0.32342076301574707,0.32865583896636963
101,0.3345031440258026,0.32865583896636963
102,0.32840782403945923,0.32865583896636963
103,0.3245289921760559,0.32865583896636963
104,0.3263760507106781,0.32865583896636963
105,0.3345031440258026,0.32865583896636963
106,0.32803842425346375,0.32865583896636963
